"id","n.years","n.sits","grp_mean","stage_og","first","SF.total","SF.since","earliest","latest","arrival","departure","min.stay","IO","IT","It","SSFI","mom","n.calves","bnfe","bnf.year1","bnf.sit1","bnf.demon","bnf.rate","bnfesolo","solo.year1","solo.sit1","fe.rate","years","momyears","bnfyears","bnfsits","soloyears","solosits","sits","ROA","SOLO_ROA","Sample.Name","Genetic.Sex","Sex"
47,15,52,3.37735849056604,"UNK",2006,0.75,0.833333333333333,174,298,209.466666666667,263.533333333333,54.1333333333333,0.0330837588668604,0.351805502710043,0.0498675951796866,0.0923852259676744,1,1,1,2012,"Elem2012063003",0,0.0384615384615385,0,NA,NA,0.538461538461538,"2016 2014 2015 2019 2023 2006 2007 2008 2010 2011 2012 2013 2017 2018 2022","2016","2012 2015","Elem2012063003 Elem2015071304","","","Wall2016062207 Whal2014091901 Whal2015071401 Whal2015071905 Whal2015100408 Whal2015100501 Whal2016063004 Fin-2019081702 Fin-2023071206 Fin-2023100703 Elem2006080901 Elem2006081601 Elem2006082102 Elem2007071801 Elem2007083006 Elem2008081303 Elem2008101407 Elem2010081508 Elem2010090404 Elem2010091608 Elem2010092003 Elem2011082609 Elem2011090301 Elem2011101401 Elem2012063003 Elem2012081604 Elem2013070202 Elem2013080601 Elem2013102102 Elem2013102506 Elem2014080817 Elem2014082812 Elem2014092004 Elem2015071304 Elem2015071901 Elem2015091211 Elem2015092503 Elem2015093009 Elem2015100117 Elem2016072204 Elem2016092008 Elem2017091704 Elem2017100407 Elem2018080603 Elem2019070902 Elem2019091704 Elem2022081501 Elem2022092706 Elem2022093009 Elem2023070202 Elem2023070301 Elem2023070602",61,NA,"b4As39","M",1
48,5,27,1.74074074074074,"UNK",2011,0.25,0.384615384615385,136,290,183.8,254.6,71,0.0385169054614474,0.402753653756398,0.100757361588775,0.164361167002012,0,0,1,2013,"Elem2013081301",0,0.037037037037037,0,NA,NA,0.407407407407407,"2016 2014 2015 2011 2013","","2013","Elem2013081301","","","Wall2016062304 Whal2014051803 Whal2014052906 Whal2015052103 Whal2015052813 Whal2015060802 Whal2015060903 Whal2015061004 Whal2015071601 Whal2015071905 Whal2015072901 Whal2015101704 Whal2016051503 Whal2016062502 Whal2016072105 Elem2011100605 Elem2013081301 Elem2013081601 Elem2014052603 Elem2014080507 Elem2014081705 Elem2014082306 Elem2014090802 Elem2014093022 Elem2015060609 Elem2015061601 Elem2015070702",72,NA,NA,NA,NA
49,5,10,5.27272727272727,"UNK",2016,0.25,0.625,180,280,223,234.4,12,0.0120098039215686,0.13693026879626,0.0592105263157895,0.0997770345596432,0,0,1,2020,"Fin-2020082903",0,0.1,0,NA,NA,0.2,"2016 2020 2022 2023 2019","","2020","Fin-2020082903","","","Wall2016062801 Fin-2020082903 Fin-2022091301 Fin-2022091901 Fin-2022092306 Fin-2023080305 Elem2019081005 Elem2020100601 Elem2022093002 Elem2022100203",132,NA,"b3Bs9","F",-1
50,2,6,2,"UNK",2015,0.1,0.222222222222222,180,277,189.5,228.5,39.5,0.0140845070422535,0.216666666666667,0.0256410256410256,0.0487804878048781,0,0,0,NA,NA,0,0,0,NA,NA,0.666666666666667,"2016 2015","","","","","","Wall2016062801 Whal2015071911 Whal2015072601 Elem2015071815 Elem2015072506 Elem2015100403",NA,NA,NA,NA,NA
51,3,3,1.66666666666667,"UNK",2009,0.15,0.2,181,219,197,197,1,0,0,0,0,1,1,0,NA,NA,0,0,0,NA,NA,0,"2016 2009 2010","2016","","","","","Wall2016062902 Elem2009080701 Elem2010071003",NA,NA,NA,NA,NA
52,5,10,6.15384615384615,"A",2012,0.25,0.416666666666667,134,288,224.8,233,8.6,0.0133441558441558,0.0538015069578915,0.263513513513513,0.358974358974359,0,0,1,2012,"Elem2012061905",0,0.3,0,NA,NA,0.3,"2016 2021 2022 2012 2020","","2012 2022","Elem2012061905 Fin-2022100401 Fin-2022100402","","","Wall2016071105 Wall2016071305 Fin-2021082202 Fin-2022100401 Fin-2022100402 Elem2012051301 Elem2012051801 Elem2012061905 Elem2020101201 Elem2020101404",60,NA,NA,NA,NA
53,10,22,5,"SA",2012,0.5,0.833333333333333,126,298,209.8,248.9,39.5,0.0158444776263401,0.266402362471503,0.0553622095724996,0.0907193659588649,1,1,1,2013,"Elem2013070402",0,0.136363636363636,0,NA,NA,0.590909090909091,"2016 2015 2018 2019 2023 2012 2013 2014 2020 2022","2016","2013 2016 2023","Elem2013070402 Whal2016071703 Elem2023071106","","","Wall2016071901 Whal2015100901 Whal2016071303 Whal2016071703 Fin-2018050601 Fin-2019081101 Fin-2023071404 Elem2012102401 Elem2013070303 Elem2013070402 Elem2013081403 Elem2013091402 Elem2013102505 Elem2014050902 Elem2015091704 Elem2016071201 Elem2016092007 Elem2018091401 Elem2019100112 Elem2020100601 Elem2022073102 Elem2023071106",71,NA,"b12As70","M",1
54,13,41,3.47727272727273,"UNK",2008,0.65,0.8125,199,299,239.230769230769,266.538461538462,27.4615384615385,0.0289481364989994,0.199190421469243,0.0800106361852611,0.142317705228781,1,2,1,2009,"Elem2009092901",0,0.121951219512195,0,NA,NA,0.414634146341463,"2016 2015 2018 2019 2020 2023 2008 2009 2010 2011 2012 2013 2014","2016 2015","2009 2015 2019","Elem2009092901 Whal2015092319 Fin-2019082401 Fin-2019082402 Fin-2019082601","","","Wall2016072006 Whal2015082302 Whal2015092319 Whal2016071706 Fin-2018081303 Fin-2018081702 Fin-2018090301 Fin-2018091002 Fin-2019082204 Fin-2019082401 Fin-2019082402 Fin-2019082601 Fin-2020082202 Fin-2020082408 Fin-2023082202 Fin-2023082303 Elem2008100501 Elem2009092901 Elem2009100902 Elem2009101101 Elem2010081001 Elem2010081512 Elem2011080602 Elem2011091102 Elem2011101404 Elem2012090504 Elem2012100601 Elem2013090603 Elem2014093019 Elem2014100705 Elem2014100709 Elem2014102611 Elem2015082701 Elem2016082705 Elem2019080802 Elem2020091006 Elem2020100601 Elem2020101201 Elem2023082302 Elem2023082602 Elem2023100407",37,NA,"b1As22",NA,0
55,7,12,1.76923076923077,"F",2005,0.35,0.368421052631579,153,264,188.571428571429,196.857142857143,8.85714285714286,0.00951248423897861,0.0593334695305492,0.290909090909091,0.295739348370927,1,3,1,2017,"Elem2017062202",0,0.0833333333333333,0,NA,NA,0.25,"2016 2019 2021 2022 2005 2012 2017","2016 2019 2021","2017","Elem2017062202","","","Wall2016072703 Fin-2019073101 Fin-2021070101 Fin-2021070201 Fin-2021070301 Fin-2022072301 Fin-2022072401 Elem2005060201 Elem2012070501 Elem2016080807 Elem2016092015 Elem2017062202",107,NA,NA,NA,NA
56,16,74,2.40506329113924,"A",2006,0.8,0.888888888888889,114,305,194.75,259.3125,64.625,0.043673582672704,0.427993940541067,0.10628484311766,0.145268127187209,1,7,0,NA,NA,0,0,0,NA,NA,0.5,"2014 2015 2016 2019 2020 2021 2022 2023 2006 2008 2009 2010 2011 2012 2013 2018","2014 2015 2016 2019 2020 2021 2022","","","","","Whal2014052003 Whal2014092002 Whal2014092201 Whal2014092501 Whal2014092904 Whal2014110102 Whal2015042407 Whal2015052306 Whal2015072101 Whal2015080201 Whal2015081403 Whal2015083005 Whal2016071506 Whal2016071901 Fin-2019081206 Fin-2020080701 Fin-2021082505 Fin-2022062001 Fin-2022062701 Fin-2022071601 Fin-2023061402 Fin-2023061801 Fin-2023062702 Fin-2023071010 Elem2006080902 Elem2006082402 Elem2006090601 Elem2008092001 Elem2009072001 Elem2009090203 Elem2009091103 Elem2009091311 Elem2010062904 Elem2010090404 Elem2011062604 Elem2011082502 Elem2011091004 Elem2012072103 Elem2012080501 Elem2012081103 Elem2012091304 Elem2012091803 Elem2013071801 Elem2013072003 Elem2013082701 Elem2013091201 Elem2013091606 Elem2013093011 Elem2013100213 Elem2014051901 Elem2014071902 Elem2014081404 Elem2014082409 Elem2014090901 Elem2014092103 Elem2015051801 Elem2015062603 Elem2015070910 Elem2015081305 Elem2015081815 Elem2015091203 Elem2015092005 Elem2016071803 Elem2016092011 Elem2018082613 Elem2018092208 Elem2019070902 Elem2020081901 Elem2020100601 Elem2021082601 Elem2022091202 Elem2023061805 Elem2023071401 Elem2023090609",NA,NA,"b2As15",NA,0
